鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
士林區,房地(土地+建物)+車位,臺北市士林區士商路151~180號,20.95,住,,,1050420,土地1建物1車位1,三層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1081114.0,147.07999999999996,3,2,1,有,有,27700000,234621.0,坡道平面,42.23,3100000,,RPUPMLMLMHPFFEA58CA
士林區,房地(土地+建物)+車位,臺北市士林區士商路151~180號,20.95,住,,,1050316,土地1建物1車位1,二層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1081114.0,144.14,3,2,1,有,有,29000000,254146.0,坡道平面,42.23,3100000,,RPVPMLMLMHPFFEA68CA
士林區,房地(土地+建物)+車位,臺北市士林區士商路151~180號,20.95,住,,,1050316,土地1建物1車位1,二層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1081114.0,144.01,3,2,1,有,有,29000000,254470.0,坡道平面,42.23,3100000,,RPWPMLMLMHPFFEA78CA
南港區,房地(土地+建物),臺北市南港區興華路30巷1~30號,18.85,住,,,1090226,土地1建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790109.0,114.86,2,2,2,有,有,19500000,169772.0,,0.0,0,含增建或未登記建物。;,RPVNMLRKMHPFFDA78CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,8.95,商,,,1090304,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718.0,131.12,1,1,1,有,有,21900000,213144.0,坡道平面,41.04,2700000,,RPROMLSLMHPFFCA58CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,9.23,商,,,1090314,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718.0,132.07,1,1,1,有,有,21600000,207624.0,坡道平面,41.04,2700000,,RPVQMLNLMHPFFCA68CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,15.01,商,,,1090321,土地1建物1車位2,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718.0,192.56,3,2,2,有,有,35660000,220829.0,坡道機械,41.04,2200000,,RPWQMLNLMHPFFCA78CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄1~30號,8.11,商,,,1090327,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718.0,90.08,1,1,1,有,有,19100000,212034.0,,0.0,0,,RPORMLNLMHPFFCA08CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,9.26,商,,,1090229,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718.0,132.94,1,1,1,有,有,20000000,195865.0,坡道平面,41.04,2000000,,RPPRMLNLMHPFFCA18CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄1~30號,6.65,商,,,1090107,土地1建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718.0,75.1,1,1,1,有,有,15600000,207751.0,,0.0,0,,RPQRMLNLMHPFFCA28CA
