鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,房地(土地+建物),臺北市內湖區康樂街61巷81弄1~30號,22.92,住,,,1090311,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731019,72.99,3,2,1,有,無,8750000,119879,,0.0,0,含增建或未登記建物。;,RPPNMLKLMHPFFCA47CA
中山區,房地(土地+建物),臺北市中山區中山北路ㄧ段105巷1~30號,15.26,商,,,1090110,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060110,114.58,2,2,1,有,有,33900000,295863,,0.0,0,,RPVPMLKLMHPFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區大湖山莊街169巷1~30號,73.89,住,,,1090221,土地1建物1車位1,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770205,196.44,5,3,3,有,有,27840000,141723,坡道平面,0.0,0,含增建或未登記建物。;,RPWNMLLLMHPFFCA28CA
內湖區,房地(土地+建物),臺北市內湖區環山路一段60巷1~30號,36.59,住,,,1090305,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690624,89.25,3,2,2,有,無,17150000,192157,,0.0,0,,RPUPMLMLMHPFFCA38CA
中山區,房地(土地+建物),臺北市中山區長安東路一段52巷1~30號,80.33,商,,,1090117,土地4建物1車位0,全,一層,透天厝,,木造,,40.59,0,0,0,無,無,41650000,1026115,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQRMLMLMHPFFCA18CA
中山區,土地,長安段四小段31~60地號,11.25,住,,,1090308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11900000,1057778,,0.0,0,,RPVRMLMLMHPFFCA68CA
中山區,土地,長安段四小段31~60地號,33.75,住,,,1090308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35700000,1057778,,0.0,0,,RPXRMLMLMHPFFCA88CA
中山區,房地(土地+建物),臺北市中山區建國北路一段31~60號,22.5,住,,,1090308,土地1建物1車位0,全,二層,透天厝,,加強磚造,,32.14,3,2,2,有,無,23820000,741133,,0.0,0,,RPOSMLNLMHPFFCA18CA
中山區,房地(土地+建物),臺北市中山區建國北路一段31~60號,22.5,住,,,1090308,土地1建物1車位0,全,二層,透天厝,,加強磚造,,32.14,3,2,2,有,無,23820000,741133,,0.0,0,,RPPSMLNLMHPFFCA28CA
中山區,房地(土地+建物),臺北市中山區建國北路一段31~60號,45.0,住,,,1090308,土地1建物1車位0,全,二層,透天厝,,加強磚造,,64.28,3,2,2,有,無,47640000,741133,,0.0,0,,RPQSMLNLMHPFFCA38CA
中山區,房地(土地+建物),臺北市中山區建國北路一段31~60號,24.0,住,,,1090308,土地1建物2車位0,全,二層,透天厝,,加強磚造,,32.32,3,2,2,有,無,25410000,786200,,0.0,0,,RPRSMLNLMHPFFCA48CA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段629巷101弄1~30號,32.22,住,,,1090229,土地1建物2車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731205,104.63,3,2,2,有,無,16750000,160088,,0.0,0,含增建或未登記建物。;,RPVRMLTLMHPFFCA76CA
中山區,房地(土地+建物),臺北市中山區南京東路三段91~120號,17.83,商,,,1090326,土地3建物1車位0,八層,十一層,辦公商業大樓,商業用,鋼筋混凝土造,0611219,146.35,0,0,0,無,有,30900000,211152,,0.0,0,,RPQNMLKKNHPFFCA57CA
內湖區,土地,潭美段三小段841~870地號,19.14,工,,,1090317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7527000,393260,,0.0,0,本件買賣包括賣方所有之一切定著物、地上物、地下物、工作物、出產物、天然孳息及木石天然資源等全部在內。,RPTNMLMKNHPFFCA08CA
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段62巷1~30號,9.71,商,,,1090327,土地1建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050322,159.54000000000002,3,2,2,有,有,28000000,175505,坡道平面,33.33,0,,RPRSMLNKNHPFFCA48CA
