鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,房地(土地+建物),臺中市北區進化北路361~390號,3.68,住,,,1090318,土地1建物1車位0,七層,十八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830207,41.96,1,1,1,有,有,1450000,34557,,0.0,0,,RPXQMLKLMHPFFBB58CA
北屯區,房地(土地+建物),臺中市北屯區安順東一街1~30號,17.65,住,,,1090316,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790302,103.28,2,2,1,有,有,5000000,48412,,0.0,0,,RPOPMLLLMHPFFBB67CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十三路121~150號,15.94,住,,,1090312,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030915,98.47999999999999,3,2,2,有,有,7200000,73111,坡道機械,14.9,0,,RPPNMLMLMHPFFBB67CA
北區,房地(土地+建物),臺中市北區中清路一段61~90號,2.7,商,,,1090324,土地2建物1車位0,五層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850601,32.97,1,1,1,有,有,1650000,50045,,0.0,0,,RPWPMLMLMHPFFBB58CA
北屯區,土地,軍福段61~90地號,294.01,住,,,1090202,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30060000,102241,,0.0,0,,RPOQMLMLMHPFFBB87CA
北區,房地(土地+建物),臺中市北區健行路151~180號,70.71,商,,,1090229,土地1建物2車位0,地下層,七層,店面(店鋪),商業用,鋼筋混凝土造,0790808,326.37,2,1,3,有,有,19500000,59748,,0.0,0,,RPQNMLRLMHPFFBB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德二路二段91~120號,18.56,商,,,1090313,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031006,153.69,3,2,1,有,有,10000000,65066,坡道平面,34.64,0,,RPRPMLSLMHPFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區旅順路一段1~30號,11.3,住,,,1090314,土地1建物2車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820310,106.27000000000001,2,1,1,有,有,5550000,52225,坡道平面,0.0,0,,RPQPMLTLMHPFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區四平路238巷1~30號,16.3,住,,,1090308,土地2建物2車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800424,124.38000000000001,2,2,2,有,有,6750000,54269,坡道平面,0.0,0,,RPQNMLKMMHPFFBB67CA
北區,房地(土地+建物),臺中市北區尚德街181~210號,27.04,住,,,1090308,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690211,97.73,9,6,6,有,無,4700000,48092,,0.0,0,,RPQQMLKMMHPFFBB97CA
北屯區,土地,同榮段1021~1050地號,80.0,其他,,,1090320,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,87500,,0.0,0,包含公共設施保留地之交易。;,RPSOMLOJNHPFFBB18CA
北區,房地(土地+建物)+車位,臺中市北區忠太東路91~120號,8.09,住,,,1090311,土地1建物1車位1,七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840607,94.93,3,2,1,有,有,5580000,58780,坡道機械,0.0,0,,RPUOMLSJNHPFFBB78CA
西屯區,房地(土地+建物)+車位,臺中市西屯區中清西二街61~90號,15.21,住,,,1090217,土地1建物1車位2,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860627,136.5,3,1,2,有,有,6900000,50549,坡道平面,27.88,0,,RPWPMLOKMHPFFCB78CA
西屯區,車位,臺中市西屯區中清西二街61~90號,0.0,,,,1090217,土地0建物0車位2,,,其他,,,,27.88,0,0,0,有,有,1760000,,坡道平面,27.88,1760000,,RPOQMLOKMHPFFCB08CA
南屯區,土地,楓樹段1441~1470地號,12.56,住,,,1090316,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,688894,54848,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRQMLOKMHPFFCB38CA
南屯區,房地(土地+建物)+車位,臺中市南屯區向上路三段331~360號,51.66,住,,,1090222,土地2建物1車位2,三層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060822,241.81,4,2,2,有,有,24980000,112984,坡道平面,49.04,3200000,,RPPNMLPKMHPFFCB97CA
