鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
彌陀區,土地,山頂段391~420地號,45.25,,鄉村區,乙種建築用地,1090408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,271500,6000,,0.0,0,親友、員工或其他特殊關係間之交易。;面積狹小的舊厝地,RPUNMLLLMHPFFFE78CA
楠梓區,房地(土地+建物),高雄市楠梓區德賢路220巷87弄1~30號,20.99,住,,,1090401,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860529,129.18,3,2,2,有,有,4580000,35454,,0.0,0,,RPPOMLOLMHPFFEE58CA
左營區,房地(土地+建物)+車位,高雄市左營區文康路241~270號,8.86,商,,,1090321,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841027,119.54,3,2,2,有,有,6700000,56048,坡道機械,0.0,0,,RPUNMLOLMHPFFEE98CA
左營區,房地(土地+建物)+車位,高雄市左營區重偉街61~90號,21.6,住,,,1090326,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831215,133.88,4,2,2,有,有,6200000,46310,坡道機械,0.0,0,,RPTPMLOLMHPFFEE09CA
左營區,房地(土地+建物),高雄市左營區崇德路121~150號,7.42,商,,,1090313,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900425,69.74,2,2,1,有,有,3940000,56496,,0.0,0,含增建或未登記建物。,RPOQMLOLMHPFFEE68CA
楠梓區,房地(土地+建物),高雄市楠梓區大學十街330巷37弄1~30號,96.76,住,,,1090210,土地2建物1車位0,全,四層,透天厝,見其它登記事項,見其它登記事項,0930602,203.76,7,1,4,有,無,9950000,48832,,0.0,0,含增建或未登記建物。,RPPNMLPLMHPFFEE58CA
楠梓區,房地(土地+建物),高雄市楠梓區民昌街287巷31~60號,53.0,住,,,1090307,土地1建物1車位0,全,二層,透天厝,,加強磚造,0691204,64.16,5,2,4,有,無,3800000,59227,,0.0,0,,RPOQMLMLMHPFFEE48CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學十街330巷1~30號,27.39,住,,,1090308,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080730,173.31,3,2,2,有,有,11460000,67410,坡道平面,25.26,1480000,,RPWOMLNLMHPFFEE56CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學十街330巷1~30號,25.34,住,,,1090308,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080730,157.43,3,2,2,有,有,8860000,54576,升降機械,9.38,780000,,RPXOMLNLMHPFFEE66CA
楠梓區,房地(土地+建物),高雄市楠梓區大學二十街1~30號,7.73,商,,,1090322,土地1建物1車位0,十七層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070502,99.74000000000001,2,1,1,有,有,4800000,48125,,0.0,0,,RPUPMLNLMHPFFEE09CA
